# Elements 1e+06
[00001.960 ms] [14.357358] sumSeq
[00004.700 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=48]
[00004.702 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=64]
[00004.675 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=1]
[00004.670 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=2]
[00004.673 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=3]
[00004.673 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=4]
[00004.688 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=6]
[00004.676 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=8]
[00004.673 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=12]
[00004.663 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=16]
[00004.672 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=24]
[00004.673 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=32]
[00004.676 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=48]
[00004.669 ms] [21.299862] sumCuda<<<auto, 128>>> [thread-duty=64]
[00004.647 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=1]
[00004.648 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=2]
[00004.647 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=3]
[00004.645 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=4]
[00004.647 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=6]
[00004.645 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=8]
[00004.639 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=12]
[00004.639 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=16]
[00004.646 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=24]
[00004.647 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=32]
[00004.651 ms] [21.299862] sumCuda<<<auto, 256>>> [thread-duty=48]
